source,target,covariance
R_area_24a,R_area_24b,0.7661558617361843
R_area_24a',R_area_24b',0.7736224153826422
R_rostral_gyrus_rectus,L_rostral_gyrus_rectus,0.7803231671345551
R_caudal_gyrus_rectus,L_caudal_gyrus_rectus,0.7713040536684298
R_area_23a,R_area_23b,0.7501680638287007
R_area_23a,R_area_30,0.7985946859907324
R_area_23a,L_area_23a,0.8311895894396479
R_area_29,R_area_30,0.7187021793528245
R_area_TF,R_area_TH,0.716646593996394
R_area_TH,R_caudal_limiting_division_of_entorhinal_cortex,0.7635210518361989
R_middle_entorhinal_cortex,R_rostral_entorhinal_cortex,0.7640780573703487
R_rostral_entorhinal_cortex,R_area_35,0.7032493166213465
R_area_35,R_rostral_and_polar_area_36,0.7534576631830099
R_medial_rostrotemporal_belt_region,R_rostrotemporal_core_region,0.7215714963293403
R_medial_rostrotemporal_belt_region,R_parainsula,0.7325659057711439
L_area_24a,L_area_24b,0.7008276452295399
L_area_24a',L_area_24b',0.7666729795957844
L_dorsal_periarcuate_area_8A,L_arcuate_sulcus_area_8B,0.7725148895115469
L_area_23a,L_area_30,0.725994583281968
L_area_29,L_area_30,0.7814380183318828
L_area_TF,L_caudal_limiting_division_of_entorhinal_cortex,0.7189821332497837
L_area_TH,L_caudal_limiting_division_of_entorhinal_cortex,0.8055616604593069
L_area_35,L_rostral_and_polar_area_36,0.7793044679873604
L_ventral_dysgranular_temporal_pole,L_ventral_granular_temporal_pole,0.8180331443745931
L_lateral_rostrotemporal_belt_region,L_rostrotemporal_core_region,0.7474354857693545
