source,target,covariance
R_area_24a',R_area_24b',0.8178431688749935
R_area_24b',L_area_24b',0.709241377841773
R_rostral_gyrus_rectus,L_rostral_gyrus_rectus,0.7978789698102584
R_caudal_gyrus_rectus,L_caudal_gyrus_rectus,0.7230615190042217
R_dorsal_periarcuate_area_8A,R_arcuate_sulcus_area_8B,0.776396721753474
R_ventral_periarcuate_area_8A,R_area_45b,0.7139217611551196
R_area_23a,R_area_23b,0.7374238753217246
R_area_23a,R_area_30,0.7959075092073344
R_area_23a,L_area_23a,0.8165476619413328
R_area_29,R_area_30,0.7873806105966646
R_area_TF,R_area_TH,0.8080450402716256
R_area_TH,R_caudal_limiting_division_of_entorhinal_cortex,0.847338229236415
R_dorsal_dysgranular_temporal_pole,R_dorsal_granular_temporal_pole,0.749286654332529
R_lateral_rostrotemporal_belt_region,R_rostrotemporal_core_region,0.7750980802566305
R_medial_rostrotemporal_belt_region,R_parainsula,0.7073823104444629
L_area_24a',L_area_24b',0.8314906353652673
L_dorsal_periarcuate_area_8A,L_arcuate_sulcus_area_8B,0.7386344702633402
L_ventral_intraparietal_area,L_ventral_lateral_intraparietal_area,0.716849777526378
L_area_23a,L_area_29,0.7253422138213466
L_area_23a,L_area_30,0.7937448723368076
L_area_29,L_area_30,0.8304458025758407
L_area_TF,L_area_TH,0.7203962850382617
L_area_TH,L_caudal_limiting_division_of_entorhinal_cortex,0.753283942758092
L_agranular_temporal_pole,L_ventral_dysgranular_temporal_pole,0.7914904479131948
L_agranular_temporal_pole,L_sts_part_of_temporal_pole,0.8479504944350303
L_dorsal_dysgranular_temporal_pole,L_dorsal_granular_temporal_pole,0.7565465453814498
L_ventral_dysgranular_temporal_pole,L_ventral_granular_temporal_pole,0.7454282482021047
L_ventral_dysgranular_temporal_pole,L_sts_part_of_temporal_pole,0.7570397058364993
L_area_TEm,L_temporal_parietooccipital_associated_area,0.7025220393296234
L_temporal_parietooccipital_associated_area,L_area_TAa,0.7950615442362857
L_temporal_parietooccipital_associated_area,L_rostromedial_belt_region,0.7770356089716624
L_area_TAa,L_rostromedial_belt_region,0.7174032733373402
L_rostral_superior_temporal_gyrus,L_medial_rostrotemporal_belt_region,0.7121317924393051
L_rostral_superior_temporal_gyrus,L_rostrotemporal_core_region,0.7372757097071485
L_rostromedial_belt_region,L_rostral_core_region,0.7842066932287697
L_medial_rostrotemporal_belt_region,L_rostrotemporal_core_region,0.7231781514235859
L_medial_rostrotemporal_belt_region,L_parainsula,0.8931481129289727
L_clearly_part_of_visual_area_2,L_primary_visual_cortex,0.7427166758819759
