source,target,covariance
R_area_24a,R_area_24b,0.7203697993843334
R_area_24a',R_area_24b',0.8662730238566193
R_rostral_medial_frontal_pole,L_rostral_medial_frontal_pole,0.7146910587048934
R_area_23a,R_area_23b,0.7027125947093622
R_area_29,R_area_30,0.7904596782787491
R_area_TH,R_caudal_limiting_division_of_entorhinal_cortex,0.7243829585378639
R_area_35,R_rostral_and_polar_area_36,0.7751352878849824
R_ventral_dysgranular_temporal_pole,R_ventral_granular_temporal_pole,0.7294876410072341
L_area_24a,L_area_24b,0.7075906155537833
L_area_24a',L_area_24b',0.8410184748604904
L_ventral_intraparietal_area,L_ventral_lateral_intraparietal_area,0.7152165726528844
L_area_23a,L_area_29,0.7575957904479548
L_area_29,L_area_30,0.7613383102777221
L_rostral_entorhinal_cortex,L_area_35,0.7032902537709291
L_area_35,L_rostral_and_polar_area_36,0.8366967710602714
L_agranular_temporal_pole,L_ventral_dysgranular_temporal_pole,0.7664765541667887
L_ventral_dysgranular_temporal_pole,L_ventral_granular_temporal_pole,0.7642386762596421
L_ventral_dysgranular_temporal_pole,L_sts_part_of_temporal_pole,0.7797643007937158
L_ventral_granular_temporal_pole,L_sts_part_of_temporal_pole,0.7235609557194861
L_medial_rostrotemporal_belt_region,L_parainsula,0.8068604319548277
