source,target,covariance
R_area_24b,R_area_24c,0.7807227298725599
R_area_24a',R_area_24b',0.7512246927208766
R_rostral_gyrus_rectus,L_rostral_gyrus_rectus,0.7147204638014818
R_area_23a,R_area_23b,0.7772931136225572
R_area_29,R_area_30,0.804596525358152
R_area_TF,R_area_TH,0.7227650875976215
R_area_TH,R_caudal_limiting_division_of_entorhinal_cortex,0.735754016600989
R_area_35,R_rostral_and_polar_area_36,0.8097069515650428
R_ventral_dysgranular_temporal_pole,R_ventral_granular_temporal_pole,0.7025530277062905
R_medial_rostrotemporal_belt_region,R_parainsula,0.7348547136884402
L_area_24b,L_area_24c,0.7322522157625229
L_area_24a',L_area_24b',0.7796638325920354
L_dorsal_periarcuate_area_8A,L_arcuate_sulcus_area_8B,0.7041615078163255
L_area_23a,L_area_23b,0.7424262425428322
L_area_29,L_area_30,0.7047955110895548
L_area_35,L_rostral_and_polar_area_36,0.8054855407394982
L_ventral_dysgranular_temporal_pole,L_ventral_granular_temporal_pole,0.7150517672886761
L_lateral_rostrotemporal_belt_region,L_rostrotemporal_core_region,0.707251013574878
