source,target,covariance
R_subgenual_cortex,L_subgenual_cortex,0.7856615970760777
R_area_24a',R_area_24b',0.7954756785638493
R_rostral_medial_frontal_pole,L_rostral_medial_frontal_pole,0.7525711295625547
R_rostral_gyrus_rectus,L_rostral_gyrus_rectus,0.71689705064158
R_caudal_gyrus_rectus,L_caudal_gyrus_rectus,0.7652968760948242
R_dorsal_area_8B,R_medial_area_8B,0.7017466355212871
R_dorsal_area_8B,R_rostral_dorsal_premotor_cortex,0.7198612684272354
R_dorsal_area_8B,R_presupplementary_motor_area,0.7381649526583977
R_rostral_dorsal_premotor_cortex,R_presupplementary_motor_area,0.7247013235047138
R_area_23a,R_area_23b,0.760714429090236
R_area_23a,R_area_29,0.7756583926196928
R_area_29,R_area_30,0.7140011858970087
R_rostral_entorhinal_cortex,R_area_35,0.7373828815916333
R_agranular_temporal_pole,R_ventral_dysgranular_temporal_pole,0.7548950151044852
R_ventral_dysgranular_temporal_pole,R_ventral_granular_temporal_pole,0.7780075567416233
R_medial_rostrotemporal_belt_region,R_rostrotemporal_core_region,0.7158517367709062
R_medial_rostrotemporal_belt_region,R_parainsula,0.7289104352298648
L_area_24b,L_area_24c,0.7074989355487481
L_area_24a',L_area_24b',0.7466985080811183
L_area_23a,L_area_30,0.7115454671771059
L_area_29,L_area_30,0.7059698147015822
L_area_35,L_rostral_and_polar_area_36,0.7321377525651369
L_ventral_dysgranular_temporal_pole,L_ventral_granular_temporal_pole,0.7566201864727152
L_medial_rostrotemporal_belt_region,L_parainsula,0.7744989833463907
